pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
Kepler-179 b,1.8,,2.735903375,,,Transit,Kepler-179
Kepler-179 b,1.58,,2.735903375,0.0361,312.39,Transit,Kepler-179
Kepler-179 b,1.7,,2.73589,0.036,,Transit,Kepler-179
Kepler-179 b,1.64,,2.735926,0.036,,Transit,Kepler-179
Kepler-179 b,1.58,,2.735903375,0.0361,312.39,Transit,Kepler-179
Kepler-179 b,,,2.735900074,,,Transit,Kepler-179
Kepler-179 b,1.694,,,,360.262,Transit,Kepler-179
Kepler-179 b,1.708,,2.735903375,0.03688,338.9,Transit,Kepler-179
Kepler-179 b,1.58,,2.735903375,0.0361,312.39,Transit,Kepler-179
Kepler-179 b,1.56,,2.735900074,0.0362,315.95,Transit,Kepler-179
Kepler-179 b,,,2.73589728,,,Transit,Kepler-179
Kepler-179 b,,,2.7359103947,,,Transit,Kepler-179
Kepler-165 c,2.49,,15.31307,0.112,,Transit,Kepler-165
Kepler-165 c,2.24,,15.31297659,0.1088,31.71,Transit,Kepler-165
Kepler-165 c,2.23,,15.31299,0.11,,Transit,Kepler-165
Kepler-165 c,,,15.3128980768,,,Transit,Kepler-165
Kepler-165 c,2.277,,,,25.931,Transit,Kepler-165
Kepler-165 c,2.24,,15.31297659,0.1088,31.71,Transit,Kepler-165
Kepler-165 c,2.24,,15.31297659,0.1088,31.71,Transit,Kepler-165
Kepler-165 c,2.34,,15.31296388,0.1145,26.98,Transit,Kepler-165
Kepler-165 c,2.186,,15.31297659,0.1095,27.6,Transit,Kepler-165
Kepler-165 c,,,15.31296388,,,Transit,Kepler-165
Kepler-165 c,2.25,,15.31297659,,,Transit,Kepler-165
Kepler-165 c,,,15.312909,,,Transit,Kepler-165
Kepler-228 c,2.84,,4.13443005,,,Transit,Kepler-228
Kepler-228 c,2.8,,4.134403,0.051,,Transit,Kepler-228
Kepler-228 c,,,4.1344785877,,,Transit,Kepler-228
Kepler-228 c,2.77,,4.13443512,0.0514,427.65,Transit,Kepler-228
Kepler-228 c,3.423,,4.13443005,0.05053,439.9,Transit,Kepler-228
Kepler-228 c,,,4.13443512,,,Transit,Kepler-228
Kepler-228 c,,,4.13442899,,,Transit,Kepler-228
Kepler-228 c,2.7,,4.134444,0.052,,Transit,Kepler-228
Kepler-228 c,3.02,,4.13443005,0.0514,427.65,Transit,Kepler-228
Kepler-228 c,3.02,,4.13443005,0.0514,427.65,Transit,Kepler-228
Kepler-228 c,3.02,,4.13443005,0.0514,427.65,Transit,Kepler-228
Kepler-228 c,3.268,,,,457.318,Transit,Kepler-228
Kepler-20 c,3.03,,10.854097835,0.0919,80.88,Transit,Kepler-20
Kepler-20 c,,,10.8540774435,,,Transit,Kepler-20
Kepler-20 c,,,10.8541002,,,Transit,Kepler-20
Kepler-20 c,3.04,,10.854097835,,,Transit,Kepler-20
Kepler-20 c,3.17,,10.8540894,0.093,,Transit,Kepler-20
Kepler-20 c,2.868,,,,77.023,Transit,Kepler-20
Kepler-20 c,,,10.854095934,,,Transit,Kepler-20
Kepler-20 c,3.03,,10.854097835,0.0919,80.88,Transit,Kepler-20
Kepler-20 c,2.88,,10.854097835,0.09408,72.2,Transit,Kepler-20
Kepler-20 c,2.99,,10.854095934,0.0919,80.88,Transit,Kepler-20
Kepler-20 c,3.07,16.1,10.854092,0.093,,Transit,Kepler-20
Kepler-20 c,2.88,13.55003079,10.85409784,0.0940486658,,Transit,Kepler-20
Kepler-20 c,2.894,11.1,10.8540774,0.0936,78.7,Transit,Kepler-20
Kepler-20 c,3.047,12.75,10.85409089,0.0949,,Transit,Kepler-20
Kepler-20 c,3.03,,10.854097835,0.0919,80.88,Transit,Kepler-20
Kepler-166 d,,,1.55400389,,,Transit,Kepler-166
Kepler-166 d,,,1.5539980591,,,Transit,Kepler-166
Kepler-166 d,1.58,,1.554003928,0.0246,731.43,Transit,Kepler-166
Kepler-166 d,1.73,,1.554003928,,,Transit,Kepler-166
Kepler-166 d,1.59,,1.55400389,0.0246,704.5,Transit,Kepler-166
Kepler-166 d,1.667,,,,651.409,Transit,Kepler-166
Kepler-166 d,1.58,,1.554003928,0.0246,731.43,Transit,Kepler-166
Kepler-166 d,1.7,,1.554001,0.025,,Transit,Kepler-166
Kepler-166 d,,,1.55400192,,,Transit,Kepler-166
Kepler-166 d,1.58,,1.554003928,0.0246,731.43,Transit,Kepler-166
Kepler-166 d,1.602,,1.554003928,0.02449,637.4,Transit,Kepler-166
Kepler-52 b,2.21,,7.877356,0.065,,Transit,Kepler-52
Kepler-52 b,2.52,79.6,7.877,,,Transit,Kepler-52
Kepler-52 b,2.7,,7.87740709,,,Transit,Kepler-52
Kepler-52 b,2.33,,7.87740709,0.0639,14.76,Transit,Kepler-52
Kepler-52 b,2.16,,7.8774163,0.0665,22.18,Transit,Kepler-52
Kepler-52 b,2.516,,,,22.221,Transit,Kepler-52
Kepler-52 b,,,7.87742645,,,Transit,Kepler-52
Kepler-52 b,2.29,,7.88,,,Transit,Kepler-52
Kepler-52 b,,,7.8774163,,,Transit,Kepler-52
Kepler-52 b,2.4,,7.88,,,Transit,Kepler-52
Kepler-52 b,2.176,,,,22.72,Transit,Kepler-52
Kepler-52 b,2.33,,7.87740709,0.0639,14.76,Transit,Kepler-52
Kepler-52 b,2.1,135.0,7.8773565,,,Transit,Kepler-52
Kepler-52 b,1.93,,7.87761021,0.0637,,Transit,Kepler-52
Kepler-52 b,2.33,,7.87740709,0.0639,14.76,Transit,Kepler-52
Kepler-52 b,,6.27,7.877416,,,Transit,Kepler-52
Kepler-197 d,1.42,,15.67750191,0.1185,101.79,Transit,Kepler-197
Kepler-197 d,,,15.67750191,,,Transit,Kepler-197
Kepler-197 d,,,15.677,,,Transit,Kepler-197
Kepler-197 d,1.22,,15.677563,0.119,,Transit,Kepler-197
Kepler-197 d,1.15,,15.67756112,0.1194,102.33,Transit,Kepler-197
Kepler-197 d,1.15,,15.67756112,,,Transit,Kepler-197
Kepler-197 d,,,15.677546605,,,Transit,Kepler-197
Kepler-197 d,1.244,,15.67787,,,Transit,Kepler-197
Kepler-197 d,1.191,,15.67756112,0.11646,111.9,Transit,Kepler-197
Kepler-197 d,1.191,,15.67756112,0.116444539,,Transit,Kepler-197
Kepler-197 d,1.15,,15.67756112,0.1194,102.33,Transit,Kepler-197
Kepler-197 d,1.36,,15.67757,0.117,,Transit,Kepler-197
Kepler-197 d,,,15.67770919,,,Transit,Kepler-197
Kepler-197 d,1.15,,15.67756112,0.1194,102.33,Transit,Kepler-197
